page_number,total_videos,missing_videos,missing_lessons
1,24,0,[]
2,23,1,[24]
3,23,1,[24]
4,23,1,[24]
5,24,0,[]
6,24,0,[]
7,24,0,[]
8,23,1,[24]
9,24,0,[]
10,22,2,"[18, 21]"
11,24,0,[]
12,24,0,[]
13,24,0,[]
14,23,1,[3]
15,24,0,[]
16,23,1,[24]
17,23,1,[24]
18,23,1,[22]
19,23,1,[24]
20,21,3,"[24, 22, 23]"
21,23,1,[24]
22,24,0,[]
23,24,0,[]
24,24,0,[]
25,23,1,[24]
26,24,0,[]
27,22,2,"[11, 5]"
28,23,1,[2]
29,23,1,[24]
30,24,0,[]
31,22,2,"[1, 3]"
32,24,0,[]
33,23,1,[13]
34,23,1,[12]
35,24,0,[]
36,23,1,[24]
37,23,1,[22]
38,23,1,[18]
39,23,1,[24]
40,23,1,[20]
41,23,1,[13]
42,17,7,"[18, 19, 20, 21, 22, 23, 24]"
43,24,0,[]
44,23,1,[6]
45,24,0,[]
46,24,0,[]
47,22,2,"[16, 7]"
48,23,1,[9]
49,23,1,[9]
50,24,0,[]
51,21,3,"[3, 22, 15]"
52,24,0,[]
53,23,1,[24]
54,24,0,[]
55,23,1,[21]
56,23,1,[19]
57,24,0,[]
58,24,0,[]
59,23,1,[14]
60,23,1,[19]
61,24,0,[]
62,23,1,[22]
63,24,0,[]
64,24,0,[]
65,23,1,[14]
66,23,1,[11]
67,23,1,[13]
68,23,1,[13]
69,24,0,[]
70,22,2,"[24, 21]"
71,23,1,[2]
72,24,0,[]
73,23,1,[12]
74,24,0,[]
75,22,2,"[11, 20]"
76,23,1,[8]
77,21,3,"[8, 18, 5]"
78,23,1,[23]
79,22,2,"[24, 13]"
80,23,1,[18]
81,22,2,"[24, 11]"
82,24,0,[]
83,24,0,[]
84,21,3,"[11, 20, 14]"
85,22,2,"[17, 21]"
86,23,1,[24]
87,23,1,[11]
88,24,0,[]
89,21,3,"[8, 9, 24]"
90,22,2,"[10, 4]"
91,23,1,[17]
92,24,0,[]
93,21,3,"[24, 9, 11]"
94,22,2,"[24, 17]"
95,23,1,[22]
96,24,0,[]
97,22,2,"[24, 4]"
98,20,4,"[8, 18, 20, 13]"
99,22,2,"[24, 12]"
100,20,4,"[8, 18, 20, 21]"
101,23,1,[23]
102,22,2,"[8, 19]"
103,21,3,"[16, 18, 20]"
104,missing,,
105,23,1,[4]
106,24,0,[]
107,24,0,[]
108,22,2,"[16, 12]"
109,23,1,[22]
110,23,1,[5]
111,23,1,[14]
112,24,0,[]
113,15,9,"[6, 9, 17, 19, 20, 21, 22, 23, 24]"
114,1,23,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
115,missing,,
116,missing,,
117,18,6,"[3, 18, 21, 22, 23, 24]"
118,missing,,
119,18,6,"[3, 8, 9, 22, 23, 24]"
120,13,11,"[3, 8, 10, 17, 18, 19, 20, 21, 22, 23, 24]"
121,23,1,[12]
122,5,0,[]
